"Station","Start","End","Dist","Type"
"Aveyime_07034AVE",1963,2018,"North Tongu","Agromet"
"Axim_23001AXM.1",1960,2022,"Nzema East Municipal","Climate"
"Axim_23001AXM.2",1960,2022,"Nzema East Municipal","Synoptic"
"Babile_01000BAB",1948,2014,"Jirapa","Synoptic"
"Barekese_17044BAR",1969,2006,"Atwima Nwabiagya","Climate"
"Bechem_16004BEC",1964,2010,"Tano South","Climate"
"Begoro_14014BEG",1964,2007,"Fanteakwa","Climate"
"Bekwai - Ashanti_17025BEK",1963,2009,"Bekwai Municipal","Climate"
"Benso_23027BEN",1951,2015,"Mpohor","Climate"
"Berekum_01005BER",1956,2017,"Berekum Municipal","Climate"
"Bibiani_16004BIB",1958,2015,"BAB Municipal","Climate"
"Binduri_04030BIN",1976,2017,"Binduri","Agromet"
"Bobiri_19004BOB",1953,2020,"Ejisu Juaben Municipal","Agromet"
"Bogoso_18005BOG",1953,2006,"Prestea- Huni Valley","Climate"
"Bogoso_18027BOG",1948,1971,"Prestea- Huni Valley","Climate"
"Bole_07000BOL",1961,2023,"Bole","Synoptic"
"Bolgatanga_04003BOL",2012,2021,"Bolgatanga Municipal","Agromet"
"Bolgatanga_04027BOL",1975,2021,"Bolgatanga Municipal","Agromet"
"Bondaye_18006BON.1",1953,1964,"Prestea- Huni Valley","Climate"
"Bondaye_18006BON.2",1953,1964,"Prestea- Huni Valley","Rainfall"
"Boso_07061BOS",1972,2013,"Asuogyaman","Climate"
"Botoku_07073BOT",1999,2009,"North Dayi","Climate"
"Breman Asikuma_23032ASI",1958,2016,"Asikuma-Odoben-Brakwa","Agromet"
"Brimso_23012BRI",1957,2016,"Abura Asebu Kwamankese","Climate"
"Bui_01001BUI",1954,2006,"Banda","Agromet"
"Bunso_21015BUN",1954,2018,"Abuakwa North","Agromet"
"Cape Coast_23000CAP.1",1960,1972,"Cape Coast","Climate"
"Cape Coast_23000CAP.2",1960,1972,"Cape Coast","Rainfall"
"Cape Coast_23013CAP",1965,2018,"Cape Coast","Climate"
"Cape Coast_23044CAP",1966,2022,"Cape Coast","Climate"
"Cape Coast_23048CAP",1973,2020,"Cape Coast","Agromet"
"Chinderi_07007CHI.1",1964,1966,"Krachi Nchumuru","Climate"
"Chinderi_07007CHI.2",1964,1966,"Krachi Nchumuru","Rainfall"
"Damongo_01001DAM.1",1954,2019,"West Gonja","Climate"
"Damongo_01001DAM.2",1954,2019,"West Gonja","Rainfall"
"Donkorkrom_13000DON",1995,2009,"Kwahu North","Climate"
"Dormaa Ahenkro_20008DOR",1956,1966,"Dormaa Ahenkro","Climate"
"Dormaa Ahenkro_20021DOR",1969,2016,"Dormaa Ahenkro","Climate"
"Dunkwa_17015DUN",1963,2014,"Upper Denkyira East","Climate"
"Effiduasi_19017EFI",1970,2012,"Sekyere East","Climate"
"Ejura_14004EJU.1",1958,2010,"Ejura Sekyedumase","Agromet"
"Ejura_14004EJU.2",1958,2010,"Ejura Sekyedumase","Climate"
"Elmina_23024ELM",1958,2013,"Edina","Climate"
"Enchi_16007ENC",1954,2002,"Aowin","Climate"
"Esiama_23003ESI",1960,1979,"Nzema East","Climate"
"Forifori_14057FOR",1971,2016,"Kwahu Afram Plains South","Climate"
"Funsi_02008FUN",2008,2009,"Wa East","Rainfall"
"Garu_04031GAR",1976,2021,"Garu-Tempane","Agromet"
"Goaso_16010GOA.1",1956,2012,"Asunafo North Municipal","Agromet"
"Goaso_16010GOA.2",1956,2012,"Asunafo North Municipal","Rainfall"
"Half Assini_23016HAL",1963,2019,"Jomoro Municipal","Climate"
"Havi_23028HAV",1975,1982,"Akatsi South","Agromet"
"Ho_07017HO-",1956,2023,"Ho Municipal","Synoptic"
"Hohoe_07016HOH",1963,2003,"Hohoe Municipal","Climate"
"Huhunya_14039HAV",2011,2019,"Yilo Krobo Municipal","Agromet"
"Huhunya_14039HUH",1964,2022,"Yilo Krobo Municipal","Agromet"
"Inchaban_23000INC",1954,2008,"Shama","Climate"
"KIAMO-Accra_23016ACC",1951,2023,"Okaikoi South","Synoptic"
"Kade_21017KAD",1956,2018,"Kwaebibirem","Climate"
"Kade_21018KAD",1957,1989,"Kwaebibirem","Experimental"
"Kanayerebo_18007KAN",1952,2001,"BAB Municipal","Climate"
"Kanayerobo_18007KAN",1952,2001,"BAB Municipal","Climate"
"Keta_23015KET",1953,1995,"Keta Municipal","Climate"
"Kete-Krachi_07008KRA",1956,2018,"Krachi West","Synoptic"
"Kibi_21020KIB",1954,2020,"East Akim Municipal","Climate"
"Kintampo_01000KIN",1955,2019,"Kintampo North Municipal","Agromet"
"Koforidua_22029KOF",1954,1976,"New-Juaben Municipal","Climate"
"Koforidua_22050KDA.1",1969,2023,"New-Juaben Municipal","Agromet"
"Koforidua_22050KDA.2",1969,2023,"New-Juaben Municipal","Synoptic"
"Komenda_23040KOM",1964,2004,"Na","Agromet"
"Konongo_19007KON",1953,2010,"Asante Akim Central","Climate"
"Konongo_19007KOO",1995,1995,"Asante Akim Central","Climate"
"Kpandae_08002KPA",1953,2005,"Kpandai","Climate"
"Kpando_07017KPA.1",1963,2012,"Kpando Municipal","Agromet"
"Kpando_07017KPA.2",1963,2012,"Kpando Municipal","Climate"
"Kpedze_09005KPE",2004,2020,"Ho-West","Climate"
"Kpedzeglo Mafi_07037KPE",2012,2022,"Hohoe","Climate"
"Kpeve_07026KPE",1953,2017,"South Dayi","Agromet"
"Kpong_07006KPO",1956,2022,"Kpone Katamanso","Agromet"
"Krachi Nkwanta_09003KRA",1975,2008,"Krachi West","Climate"
"Kugri_04029KUG",1990,2012,"Garu Tempane","Agromet"
"Kumasi_17009KSI",1946,2023,"Kumasi","Synoptic"
"Kumasi_17036KUM",1960,2020,"Kumasi","Agromet"
"Kusi_21067KUS",1995,2018,"Denkyembour","Climate"
"Kwadaso_17012KWA",1952,2017,"Kumasi","Agromet"
"Kwanyako_23080KWA",1966,2018,"Agona East","Climate"
"Manga Bawku_04001MAN",1955,2018,"Bawku Municipal","Climate"
"Mankango_07012MAN",1973,1979,"North East Gonja","Agromet"
"Mem Chemfere_07059MEM.1",1966,1976,"Kwahu Afram Plains North","Climate"
"Mem Chemfere_07059MEM.2",1966,1976,"Kwahu Afram Plains North","Rainfall"
"Mole_01007MOL",1973,1976,"West Gonja","Climate"
"Mpehuasem_23084MPE",1969,2022,"Ayawaso","Agromet"
"Mpraeso_14044MPR",1963,2011,"Kwahu South","Climate"
"Nasia_06025NAS",1969,1980,"Gazeb","Climate"
"Navrongo_04003NAV",1947,2023,"Kassena- Nankana","Synoptic"
"Nkawkaw_19043NKA",1963,2016,"Nkwanta South","Climate"
"Nkroful_23008NKR",1976,2003,"Ellembelle","Climate"
"Nsawam_22027NSA",1953,2012,"Nsawan-Aoagyire Minicipal","Climate"
"Nungua_23012NUN",1952,2008,"Gulf Of Guinea","Rainfall"
"Nyankpala_07012NYA.1",1952,2008,"Tolon","Agromet"
"Nyankpala_07012NYA.2",1952,2008,"Tolon","Climate"
"Obo-Kwahu_19005OBO",1964,1980,"Kwahu South","Rainfall"
"Obuasi_170390BU",2005,2005,"Obuasi Municipal","Climate"
"Obuasi_17039OBU",1995,2008,"Obuasi Municipal","Climate"
"Ogoli_07074OGO",1973,1976,"Asuogyaman","Rainfall"
"Ohawu_23053OHA",1963,2017,"Ketu North","Agromet"
"Osu-Accra_23050OSU",1960,1969,"Klorley Klotey Municipal","Rainfall"
"Owabi_17016OWA",1952,2020,"Owabi","Climate"
"Oyarifa_23059OYA",1971,1985,"Pantang West","Climate"
"Pankese_19030PAN",1956,2016,"Glinyigbatakpo ( Ahorlikope)","Climate"
"Pokoase_22014POK.1",1953,2019,"Ga West Municipal","Agromet"
"Pokoase_22014POK.2",1953,2019,"Ga West Municipal","Climate"
"Pomadze_23089POM",1995,2007,"Effutu Municipal","Agromet"
"Pong Tamale_04005PON",1953,2011,"Savelugu-Nanton","Climate"
"Prang_11006PRA",1964,2013,"Pru East","Climate"
"Prestea SHTS_TA00003",2018,2023,"Prestea- Huni Valley","Tahmo AWS"
"Prestea_18026PRE",1969,1976,"Prestea- Huni Valley","Climate"
"Pretsea_23001PRE",1971,2007,"Prestea- Huni Valley","Climate"
"Princes Town_23005PRI",1963,2009,"Ahanta West Municipal","Climate"
"Pusiga_04002PUS",1955,1994,"Pusiga","Rainfall"
"Salaga_07003SAL",1953,2019,"Salaga","Climate"
"Saltpond_23022SAL",1960,2023,"Saltpond","Synoptic"
"Sampa_01014SAM",2002,2011,"Sampa","Rainfall"
"Sefwi  Wiawso_16008WIA",1995,2019,"Sefwi - Wiawso","Climate"
"Sefwi  Wiawso_16026WIA",1991,2017,"Sefwi - Wiawso","Rainfall"
"Sefwi Bekwai_16015BEK",1964,2022,"Bibiani Anhwiase Bekwai","Synoptic"
"Sefwi Wiawso_16026WIA",1991,2017,"Sefwi - Wiawso","Agromet"
"Sege_22001SEG",1972,1976,"Ningo Prampram","Climate"
"Sese_23002SES",1963,1969,"Ahanta West Municipal","Rainfall"
"Shai Hills_23012SHA",1955,1967,"Shai Osudoku","Climate"
"Somanya_07028SOM",1957,1975,"Yilo Krobo","Climate"
"Somanya_07053SOM",1972,2019,"Yilo Krobo","Climate"
"Sunyani_01017SUN",1956,2018,"Sunyani Minicipal","Climate"
"Sunyani_01032SUN",1976,2023,"Sunyani Minicipal","Synoptic"
"Tafo Kwahu_14008TAF",1963,2006,"Kwahu South","Climate"
"Tafo_22024TAF",1958,2009,"Abuakwa North","Agromet"
"Takoradi_23003TDI",1958,2023,"Sekondi-Takoradi Metro","Synoptic"
"Tamale_07006TLE",1960,2023,"Tamale Metropolitan","Synoptic"
"Tarkwa-U.M.A.T._18033TAR",1970,2019,"Tarkwa Nsuaem Minicipal","Climate"
"Tema_23024TEM",1964,2023,"Afigya Kwabre","Synoptic"
"Tsito_07055TSI",1974,2017,"Tsito","Climate"
"Tumu_02010TUM",2012,2012,"Tumu","Rainfall"
"Tuna_02003TUN",2004,2014,"Sawla-Tuna-Kalba","Agromet"
"Twifo Praso_23023TWI.1",1974,2016,"Twifo Atti Morkwa","Agromet"
"Twifo Praso_23023TWI.2",1974,2016,"Twifo Atti Morkwa","Climate"
"Vea_04026VEA",1972,2021,"Na","Agromet"
"Wa_01013WA-",1952,2022,"Wa Municipal","Synoptic"
"Walewale_06013WAL",1972,2017,"Mamprusi West Municipal","Climate"
"Weija_22020WEI",1952,1982,"Ga South","Climate"
"Weija_23092WEI",1991,2002,"Ga South","Agromet"
"Wenchi_01018WEN",1952,2023,"Wenchi Municipal","Synoptic"
"Winneba_23067WIN",1964,2020,"Effutu Municipal","Climate"
"Yendi_08010YDI",1951,2023,"Yendi","Synoptic"
"Zawse Bawku_04003ZAW",1953,1965,"Bawku Municipal","Agromet"
"Zongo Macheri_08011ZON",1967,1993,"Krachi Nchumuru","Climate"
"Zuarungu_04015ZUA",1958,2021,"Bolga East","Agromet"
