"Station","Start","End","Dist","Type"
"Adaklu Waya_15013WAY",1955,1984,"Adaklu","Rainfall"
"Adamanso_18001ADA",1956,1964,"Wassa Amenfi East","Rainfall"
"Adamso_17002ADA",1956,2021,"Jaman South","Rainfall"
"Adawso Akwapim_14030AKW",1956,1963,"Akuapem North","Rainfall"
"Adawso Kwahu_14001KWA",1954,1980,"Kwahu South","Rainfall"
"Adeiso_22023ADE",1939,1996,"Upper West Akim","Rainfall"
"Adenta_23006ADE",1955,1964,"Madina","Rainfall"
"Adidome_07030ADI",1954,1975,"Central Tongu","Rainfall"
"Adidome_07062ADI",1964,2022,"Central Tongu","Agromet"
"Adina_23000ADI",1955,1983,"Ketu South","Rainfall"
"Adjuafua_10002AJU",1972,1978,"Bia West","Rainfall"
"Adjum_16013ADJ",1971,1985,"Aowin","Rainfall"
"Adubia Manso_17027ADU",1955,2019,"Amansie West","Agromet"
"Adubia Manso_17027EDU",1976,2019,"Amansie West","Agromet"
"Adumadum_07009ADU",1961,1980,"Krachie East","Rainfall"
"Aduman_17049ADU",1971,1983,"Dangme East","Rainfall"
"Adumasa_14000ADU",1952,1981,"Asuogyaman","Rainfall"
"Adutor_23018ADU",1963,1981,"South Tongu","Rainfall"
"Afiadenyigba_23048AFI",1955,2019,"Keta","Rainfall"
"Afienya_23071AFI",1964,2018,"Ningo Prampram","Agromet"
"Afife-Weta_23067AFI",1968,2013,"Ketu North","Agromet"
"Aflao_23001AFL",1954,1974,"Ketu South","Rainfall"
"Aflao_23002AFL",1953,1985,"Ketu South","Rainfall"
"Aframso No. 2_14019AFR",1964,1966,"Sekyere Central","Rainfall"
"Agbagorme_15049AGB",1955,1987,"South Tongu","Rainfall"
"Agbosome_23003AGB",1953,1982,"Ketu South","Rainfall"
"Agogo_20003AGO",1935,2013,"Asante Akim North","Climate"
"Agomeda_07021AGO",1965,1984,"Shai Osudoku","Rainfall"
"Agona Abodom_23037AGO",1954,2005,"Agona East","Rainfall"
"Agona Ahanta_23004AGO",1955,2016,"Agona West","Rainfall"
"Agona Ashanti_17020AGO",1933,1984,"Sekyere South","Rainfall"
"Agona Swedru_23038AGO.1",1963,1975,"Agona West","Climate"
"Agona Swedru_23038AGO.2",1963,1975,"Agona West","Rainfall"
"Agona Swedru_23066AGO",1970,2022,"Agona West","Climate"
"Aguna Amenfi_16029AGU",1972,1975,"Wassa Amenfi Central","Rainfall"
"Ahibenso_10022AHI",1972,2004,"Bodi","Rainfall"
"Ahunda Adaklu_07031AHU",1963,2006,"Adaklu","Climate"
"Ajena New_07064AJE",1965,1980,"Asuogyaman","Rainfall"
"Akaa_07000AKA",1956,2006,"Jasikan","Climate"
"Akatsi School_15051AKA",1955,2019,"Akatsi South","Agromet"
"Akatsi_15076AKA",1980,2022,"Akatsi South","Synoptic"
"Akim Akroso_23057AKR",1959,2013,"Asene Manso Akroso","Rainfall"
"Akim Oda_21022ODA",1943,1973,"Birim Central","Rainfall"
"Akim Oda_21081ODA",2015,2018,"Birim Central","Rainfall"
"Akim Oda_21088ODA",1974,2022,"Birim Central","Synoptic"
"Akokoa_12003AKO",1948,2021,"Atebubu-Amantin","Rainfall"
"Akokoaso_19001AKO",1939,2018,"Akyem Mansa","Agromet"
"Akorabo_14058AKO",1965,1990,"Ayensuano","Rainfall"
"Akosombo_07059AKO",1963,2022,"Asuogyaman","Agromet"
"Akpafu Todzi_07001AKP",1928,2017,"Jasikan","Rainfall"
"Akplabanya_23025AKP",1975,1986,"Ada West","Rainfall"
"Akrofuom Assin_23005ASS",1956,2002,"Akrofuom","Rainfall"
"Akrokerri_17021AKR",1952,2020,"Adansi North","Climate"
"Akrokerri_17040AKR",1963,2018,"Adansi North","Climate"
"Akropong Akim_21035AKO",1961,2001,"Atiwa West","Rainfall"
"Akropong Akwapim_10062AKR",1995,2018,"Akwapem North","Climate"
"Akropong Akwapim_14062AKR",1963,2021,"Akwapem North","Climate"
"Akropong Wassaw_18002WAS",1959,2016,"Akwapem North","Agromet"
"Akroso_07020FER",1953,2015,"Asene Manso Akroso","Rainfall"
"Akuma_11006AKU",1954,1968,"Ejura-Sekyedumase","Rainfall"
"Akumadan_16001AKU",1957,2005,"Offinso North","Rainfall"
"Akuse_07003AKU",1944,2020,"Yilo Krobo","Synoptic"
"Akwantambra_23021AKW",1972,1991,"Sefwi Akontombra","Rainfall"
"Alavanyo Abehenease_07027ALA",1974,1996,"Kwahu Afram Plains South","Rainfall"
"Amankwakrom_07024AMA.1",1966,1986,"Kwahu Afram Plains North","Agromet"
"Amankwakrom_07024AMA.2",1966,1986,"Kwahu Afram Plains North","Climate"
"Amate_14055AMA",1965,1983,"Fanteakwa North","Rainfall"
"Amedzofe_07014AME",1928,1976,"Ho West","Rainfall"
"Amedzofe_07060AME",1963,2019,"Ho West","Climate"
"Amelorkope_07032AME.1",1956,1981,"Central Tongu","Climate"
"Amelorkope_07032AME.2",1956,1981,"Central Tongu","Rainfall"
"Amentia_19022AME",1953,1994,"Asante Akim South","Climate"
"Amidoekor_07006AME",1955,2011,"Dangme East","Rainfall"
"Amissano_23049AMI",1998,2006,"KEEA Municipal","Rainfall"
"Amoamang_14016AMO",1964,1968,"Sekyere Central","Rainfall"
"Ampaam New_14051AMP",1965,1985,"Kwahu South","Agromet"
"Ampenkro_20046AMP",1970,1976,"Twifo Hemang Lower Denkyira","Rainfall"
"Amrahia_23083AMR",1976,2018,"Ningo/ Prampram","Rainfall"
"Ananikrom_18002ANA",1952,2013,"Wassa Amenfi East","Rainfall"
"Anfoega Akukome_07025ANF",1955,2002,"North Dayi","Rainfall"
"Angu_23025ANG",1950,1976,"Mpohor","Rainfall"
"Ankaase_19023ANK",1953,1988,"Bosome Freho","Rainfall"
"Ankaful_23006ANK",1950,1986,"KEEA Municipal","Rainfall"
"Ankako_23041ANK",1963,1987,"Twifo Hemang Lower Denkyira","Rainfall"
"Ankobra_18003ANK",1955,1965,"Prestea- Huni Valley","Rainfall"
"Anloga_23003ANL",1956,2023,"Anloga","Rainfall"
"Antoakrom_17024ANT",1953,2006,"Amansie West","Rainfall"
"Anum_07004ANU",1954,2022,"Anum","Rainfall"
"Anyaboni New_14052ANY",1965,1990,"Upper Manya","Rainfall"
"Anyako_23011ANY",1955,2006,"Keta Municipal","Rainfall"
"Anyinam_21011ANY",1912,1998,"Atiwa East","Rainfall"
"Anyinasi_23013AIY",1953,2015,"Nzema East","Agromet"
"Apam_23016APA",2012,2015,"Gomoa West","Rainfall"
"Apam_23061APA",1963,2016,"Gomoa West","Climate"
"Apedua_22012APE",1954,2006,"East Akim","Rainfall"
"Aperadi_19036APE",1960,2017,"Birim South","Rainfall"
"Apinamang_21046API",1965,1980,"Kwaebibirem","Rainfall"
"Asafo Akim_22062ASA",1972,1996,"Abuakwa South","Rainfall"
"Asamama_21048ASA",1964,1975,"Atiwa West","Rainfall"
"Asamankese_23018ASA",1952,2022,"West Akim","Climate"
"Asamankese_23024ASA",1953,2020,"West Akim","Rainfall"
"Asankragwa_16004ASA",1953,2013,"Amenfi West","Rainfall"
"Asankran Dunkwa_16023ASA",1960,1979,"Upper Denkyira East","Rainfall"
"Asante Krom (Dodi)_07075ASA",1973,2010,"Asuogyaman","Agromet"
"Asebu_23007ASE",1941,2001,"Abura Asebu Kwamankese","Climate"
"Asebu_23038ASE",1943,1964,"Abura Asebu Kwamankese","Rainfall"
"Asempaneye_10023ASE",1972,1980,"Juaboso","Rainfall"
"Asesewa_14045ASE",1963,2014,"Upper Manya","Agromet"
"Ashanti-Mampong_14009MAM",1936,2020,"Mampong","Climate"
"Ashanti-Mampong_14010MAM",1950,2018,"Mampong","Rainfall"
"Ashiaman_23008ASH",1953,1976,"Ashaiman","Rainfall"
"Ashiaman_23085ASH",1968,1982,"Ashaiman","Agromet"
"Asidowhui_23007ASI",1955,1985,"South Tongu","Rainfall"
"Assin Bereku_20008ASS",1956,1987,"Assin North","Rainfall"
"Assin Darmang_18028ASS",1954,1981,"Assin South","Rainfall"
"Assin Foso_20009FOS",1956,2022,"Assin Fosu","Climate"
"Assin Manso_23045ASS",1969,1979,"Assin South","Rainfall"
"Assin Nyankumasi_20009ASS",1976,2013,"Assin Nyankomase","Climate"
"Asuakaw_07014ASU",1965,1984,"Asuakaw","Rainfall"
"Asuansi_23011ASU",1912,2019,"Abura Asebu Kwamankese","Climate"
"Asuboi_22025ASU",1953,1996,"Suhum/Kraboa/Coaltar","Rainfall"
"Asunso_20025ASU",1976,2018,"Dormaa Municipal","Rainfall"
"Asuom_21013ASU",1956,2001,"Kwaebibirem","Rainfall"
"Asutsuare_07063ASU",1964,2022,"Asutuare","Agromet"
"Asutsuare_07070ASU",1972,2022,"Asutuare","Agromet"
"Atebubu_11002ATE",1953,2022,"Atebubu-Amantin Municipal","Climate"
"Atiavi_23005ATI",1956,1989,"Keta Municipal","Rainfall"
"Atieku_18026ATI",1944,2015,"Wassa East","Climate"
"Atroni_16003ATR",1991,2004,"Dormaa East","Rainfall"
"Atuabo_23000ATU",1954,1965,"Jomoro","Rainfall"
"Atuna_20024ATU",2006,2006,"Jaman","Rainfall"
"Avedotoe_07033AVE",1976,1980,"Central Tongu","Rainfall"
"Aveyime_07034AVE",1963,2018,"North Tongu","Agromet"
"Avrebo_18006AVR",1976,1982,"Nzema East","Rainfall"
"Awaso_18009AWA",1959,1985,"BAB Municipal","Rainfall"
"Axim_23001AXM.1",1950,2022,"Nzema East Municipal","Climate"
"Axim_23001AXM.2",1950,2022,"Nzema East Municipal","Synoptic"
"Ayensuako_23021AYR",1956,1979,"Awutu Senya","Rainfall"
"Ayikuma_23073AYI",1965,1981,"Shai Osudoku","Rainfall"
"Ayirebi_19050AYI",1972,2018,"Akyemansa","Rainfall"
"Babile_01000BAB",1948,2022,"Jirapa","Synoptic"
"Baglo_07003BAG",1955,1980,"Sekyere Afram Plains North","Rainfall"
"Bamboi_01004BAM",1961,2005,"Bole","Rainfall"
"Bana Hill_07040BAN",1961,1977,"Lower Manya","Rainfall"
"Banda_01000BAN",1954,1982,"Banda","Rainfall"
"Banko_08005BAN",1954,1984,"Sekyere Kumawu","Rainfall"
"Banko_14034BAN",1952,2002,"Sekyere Kumawu","Rainfall"
"Barekese_17044BAR",1965,2006,"Atwima Nwabiagya","Climate"
"Basa_12003BAS",1953,1987,"Sene West","Rainfall"
"Bawku_04000BAW",1927,2009,"Bawku Municipal","Rainfall"
"Bechem_16004BEC",1951,2021,"Tano South","Climate"
"Bedeku_23026BED",1975,1982,"Ada East","Rainfall"
"Begoro_14014BEG",1949,2020,"Fanteakwa","Climate"
"Bejamso_07006BEJ",1956,1984,"Krachi West","Rainfall"
"Bekwai - Ashanti_17025BEK",1934,2020,"Bekwai Municipal","Climate"
"Benchema_10003BEN",1956,2000,"Juabeso","Rainfall"
"Bende_09001BEN",1956,1980,"Bunkpurugu Nakpanduri","Rainfall"
"Benso_23027BEN",1951,2019,"Mpohor","Climate"
"Bepoase_22026BEP",1956,1985,"Sekyere South","Rainfall"
"Berekum_01005BER",1948,2019,"Berekum Municipal","Climate"
"Bibiani_16004BIB",1950,2016,"BAB Municipal","Climate"
"Bieni_21053BIE",1960,2018,"Achiase","Rainfall"
"Bimbila_09006BIM",1957,2021,"Bimbila","Rainfall"
"Binaba_04000BIN",1954,1965,"Bawku West","Rainfall"
"Binduri_04002BIN",1954,1976,"Binduri","Rainfall"
"Binduri_04030BIN",1976,2017,"Binduri","Agromet"
"Bisa_14027BIS",1939,2001,"Upper Manya","Rainfall"
"Biseasi_23033BIS",1955,2006,"Ajumako Enyan","Rainfall"
"Boakyekrom_14081BOA",1979,2013,"Kwahu Afram Plains South","Rainfall"
"Bobiri_19004BOB",1951,2019,"Ejisu Juaben Municipal","Agromet"
"Bodom_11014BOD",1965,2006,"Nkoranza North","Rainfall"
"Bodwesango_17026BOD",1953,1985,"Adansi Asokwa","Rainfall"
"Bogoso_18005BOG",1950,2014,"Prestea- Huni Valley","Climate"
"Bogoso_18027BOG",1937,1971,"Prestea- Huni Valley","Climate"
"Bole_07000BOL",1944,2023,"Bole","Synoptic"
"Bolgatanga_04003BOL",1954,2021,"Bolgatanga Municipal","Agromet"
"Bolgatanga_04027BOL",1975,2022,"Bolgatanga Municipal","Agromet"
"Bompata_19005BOM",1956,2019,"Asante Akim South Municipal","Rainfall"
"Bondaye_18006BON.1",1939,1976,"Prestea- Huni Valley","Climate"
"Bondaye_18006BON.2",1939,1976,"Prestea- Huni Valley","Rainfall"
"Bongo_04004BON",1956,1991,"Bongo","Rainfall"
"Bonyere_23014BON",1954,1979,"Jomoro Municipal","Rainfall"
"Bopa_16020BOP",1971,1976,"Sefwi Akontombra","Rainfall"
"Borae_18010BOR",1966,1981,"Krachi Nchumuru","Rainfall"
"Boso_07061BOS",1972,2022,"Asuogyaman","Climate"
"Bosuso_21036BOS",1960,1997,"Fanteakwa","Rainfall"
"Boti Falls_14073BOT",2006,2010,"Okere","Rainfall"
"Botoku_07073BOT",1976,2019,"North Dayi","Climate"
"Bowiri Odumase_07023BOW",1980,1980,"Biakoye","Rainfall"
"Brakwa_23034BRA",1955,1977,"Asikuma-Odoben-Brakwa","Rainfall"
"Branam Camp_01031BRA",1972,2008,"Wenchi Municipal","Rainfall"
"Breman Asikuma_23032ASI",1939,2019,"Asikuma-Odoben-Brakwa","Agromet"
"Breniase_07000BRE",1956,2006,"Nkwanta South Municipal","Rainfall"
"Brimso_23012BRI",1953,2019,"Abura Asebu Kwamankese","Climate"
"Brofoyedru_17032BRO",1952,2019,"Adansi Asokwa","Rainfall"
"Buaku_16005BUA",1953,2001,"Bawku East",""
"Bui_01001BUI",1954,2018,"Banda","Agromet"
"Buipe_01002BUI",2004,2019,"Central Gonja","Rainfall"
"Bunkpurugu_09001BUK",1956,1982,"Bunkpurugu-Yunyoo","Rainfall"
"Bunso_09001BUN",1956,1982,"Abuakwa North","Rainfall"
"Bunso_21015BUN",1954,2018,"Abuakwa North","Agromet"
"Busa_01006BUS",1955,2016,"Daffiama-Bussie-Issa","Rainfall"
"Busunu_03000BUS",1953,1983,"West Gonja","Rainfall"
"Cape Coast_23000CAP.1",1960,1972,"Cape Coast","Climate"
"Cape Coast_23000CAP.2",1960,1972,"Cape Coast","Rainfall"
"Cape Coast_23013CAP",1962,2018,"Cape Coast","Climate"
"Cape Coast_23044CAP",1966,2022,"Cape Coast","Climate"
"Cape Coast_23048CAP",1973,2022,"Cape Coast","Agromet"
"Charikpong_01014CHA",1994,2011,"Nadowli-Kaleo","Rainfall"
"Chereponi_09003CHE",1963,2011,"Chereponi","Rainfall"
"Chinderi_07007CHI.1",1955,1967,"Krachi Nchumuru","Climate"
"Chinderi_07007CHI.2",1955,1967,"Krachi Nchumuru","Rainfall"
"Chiraa_01006CHI",1956,2021,"Chiraa","Rainfall"
"Dabala_07008DAB",1954,1982,"Dabala","Rainfall"
"Daboasi_16028DAB",1969,2003,"Wassa East","Rainfall"
"Daboya_04009DAB",1990,2012,"North Gonja","Rainfall"
"Dadieso_10001DAD",1968,2002,"Suaman","Rainfall"
"Dafiema_01007DAF",1954,2015,"Daffiama-Bussie-Issa","Rainfall"
"Dagonkade_08001DAG",1955,1979,"North East Gonja","Rainfall"
"Dakpe_15015DAK",1953,1983,"Akatsi North","Rainfall"
"Dambai_09001DAM",1956,2019,"Krachi East Municipal","Rainfall"
"Damongo_01001DAM.1",1952,2021,"West Gonja","Climate"
"Damongo_01001DAM.2",1952,2021,"West Gonja","Rainfall"
"Damongo_01002DAM",1953,2019,"West Gonja","Rainfall"
"Danfa_23086DAN",1965,1984,"Ga East","Rainfall"
"Dawhenya_23056DAW",1976,1982,"Ningo Prampram","Rainfall"
"Dawurampong_23040DAW",1954,1982,"Gomoa West","Rainfall"
"Debibi_01007DEB",1955,1982,"Tain","Rainfall"
"Dede Sawirako_14066DED",1978,1982,"Fanteakwa North","Rainfall"
"Dededo (Tiam-Awalime)_07042DED",1958,1986,"North Tongu","Rainfall"
"Dedeso_07002DED",1954,1982,"Fanteakwa","Rainfall"
"Demon_09003DEM",1975,1984,"Saboba","Rainfall"
"Denkyira Asikuma_18014DEN",1956,1985,"Asikuma Odoben Brakwa","Rainfall"
"Denu_23006DEN",2005,2008,"Ketu South","Rainfall"
"Diabakrom_10029DIA",1964,2002,"Dormaa West","Rainfall"
"Diaso_18000DIA",1956,1980,"Upper Denkyira West","Rainfall"
"Dixcove_23007DIX",1965,2016,"Ahanta West","Rainfall"
"Doba_04013DOB",1969,1971,"Kassena-Nankana","Rainfall"
"Dodo Amanfro_07022DOD",1962,1983,"Kajebi","Rainfall"
"Dodowa_23009DOD",1955,2004,"Shai Osudoku","Rainfall"
"Dodowa_23064DOD",1974,1989,"Shai Osudoku","Rainfall"
"Domenase_14056ODO",1965,1978,"Fanteakwa North","Rainfall"
"Dompin No. 1_19050DOM",2002,2018,"Shama","Rainfall"
"Dompoasi_17048DOM",1970,1979,"Adansi North","Rainfall"
"Donkorkrom_13000DON",1954,2015,"Kwahu North","Climate"
"Donkoro Nkwanta_11013DON",1965,2016,"Nkoranza South","Rainfall"
"Dorimon_01009DOR",1956,2020,"Wa West","Rainfall"
"Dormaa Ahenkro_20008DOR",1956,1968,"Dormaa Ahenkro","Climate"
"Dormaa Ahenkro_20009DOR",1952,2019,"Dormaa Ahenkro","Rainfall"
"Dormaa Ahenkro_20021DOR",1976,2021,"Dormaa Ahenkro","Climate"
"Drabonso_14017DRA",1965,2007,"Sekyere Afram Plains North","Rainfall"
"Duayaw Nkwanta_16010DUA",1956,2021,"Tano North","Rainfall"
"Duffor Adidome_07035DUF",1956,1975,"Shai Osudiku","Rainfall"
"Dukusen_14070DUK",2004,2004,"Asante Akim North","Rainfall"
"Dunkwa_17015DUN",1939,2019,"Upper Denkyira East","Climate"
"Dunkwa_17016DUN",1939,2019,"Upper Denkyira East","Rainfall"
"Dzita_23017DZI",1962,1980,"Keta Municipal","Rainfall"
"Dzolokpuita_15016DZO",1955,1985,"Ho West","Rainfall"
"Effiduasi_19017EFI",1933,2016,"Sekyere East","Climate"
"Ehie_23004EHI",1956,1981,"Ketu Municipal","Rainfall"
"Eikwe_23002EIK",1954,1978,"Ellembelle","Rainfall"
"Ejura_14004EJU.1",1944,2022,"Ejura Sekyedumase","Agromet"
"Ejura_14004EJU.2",1944,2022,"Ejura Sekyedumase","Climate"
"Ekrawfo_23060EKR",1963,1981,"Ekumfi","Rainfall"
"Elmina_23024ELM",1976,2013,"Edina","Climate"
"Elubo_16015ELU",1953,2015,"Jomoro","Rainfall"
"Enchi_16007ENC",1955,2016,"Aowin","Climate"
"Enyan Nkodwo_23035ENY",1954,1992,"Ajumako-Enyan-Essiam","Rainfall"
"Esiam_23070ESI",1965,1983,"Enyan","Rainfall"
"Esiama_23003ESI",1930,2003,"Nzema East","Climate"
"Esuaso_18029ESU",1950,1972,"Na","Rainfall"
"Fawade_17054FAW",1992,2005,"Afigya Kwabre South","Rainfall"
"Fiasi (Tease)_14009FIA",2013,2013,"Kwahu Afram Plains South","Rainfall"
"Fomena_17029FOM",1937,1987,"Adansi North","Rainfall"
"Forifori_14057FOR",1966,2016,"Kwahu Afram Plains South","Climate"
"Foso-North_20018FOS",1953,2013,"Assin Central Municipal","Rainfall"
"Frankadua_07005FRA",1955,2000,"Central Tongu","Rainfall"
"Fumbisi_02001FUM",1956,2002,"Bulsa South","Rainfall"
"Fumso_17028FUM",1958,2007,"Adansi Asokwa","Rainfall"
"Funsi_02008FUN",1955,2013,"Wa East","Rainfall"
"Fwefwe_14003FWE",1976,1978,"Kwahu East","Rainfall"
"Galotse_23009GAL",1955,1975,"South Tongu","Rainfall"
"Gambaga_06006GAM",1944,2012,"East Mamprusi","Rainfall"
"Garu_04007GAR",1954,2019,"Garu-Tempane","Rainfall"
"Garu_04031GAR",1976,2021,"Garu-Tempane","Agromet"
"Goaso_16010GOA.1",1954,2021,"Asunafo North Municipal","Agromet"
"Goaso_16010GOA.2",1954,2021,"Asunafo North Municipal","Rainfall"
"Gomoa_23036GOM",1954,1980,"Gomoa","Rainfall"
"Grube_08008GRU",1955,1986,"Krachi Nchumuru","Rainfall"
"Guabuluga_06019GUA",1961,1965,"West Mamprusi Municipal","Rainfall"
"Guashiegu_06000GUS",1954,1993,"Guashiegu","Rainfall"
"Gyengyen_07011GYE",1965,1967,"Sene East","Agromet"
"Half Assini_23016HAL",1939,2019,"Jomoro Municipal","Climate"
"Han_01001HAN",1955,2004,"Jirapa Municipal","Rainfall"
"Havi_15080HAV",1975,1990,"Akatsi South","Agromet"
"Havi_23028HAV",1975,1982,"Akatsi South","Agromet"
"Helu_07019HEL",1961,1983,"Hohoe Municipal","Rainfall"
"Hemang Twifu_23042HEM",1963,1983,"Heman Mpenkro","Rainfall"
"Hiawa_18008HIA",1954,2019,"Prestea-Huni Valley Municipal","Rainfall"
"Ho_07017HO-",1946,2023,"Ho Municipal","Synoptic"
"Ho_07058HO-",1962,2019,"Ho Municipal","Rainfall"
"Hodzo_15018HOD",1955,2006,"Ho Municipal","Rainfall"
"Hohoe_07016HOH",1939,2014,"Hohoe Municipal","Climate"
"Hohoe_07025HOH",1965,1975,"Hohoe Municipal","Rainfall"
"Honuta_07019HON",1928,1996,"Djelokofe","Rainfall"
"Huhunya_14039HAV",2009,2019,"Yilo Krobo Municipal","Agromet"
"Huhunya_14039HUH",1960,2022,"Yilo Krobo Municipal","Agromet"
"Hwidiem_16011HWI",1956,2021,"Asitifi","Rainfall"
"Inchaban_23000INC",1952,2012,"Shama","Climate"
"Insu_18030INS",1956,2013,"Prestea-Huni Valley Municipal","Rainfall"
"Jabeso_10006JAB",1956,2002,"Juabeso","Rainfall"
"Jama_01005JAM",1960,1998,"Bole","Rainfall"
"Jamasi_17018JAM",1956,2019,"Sekyere South","Rainfall"
"Japekrom_01022GYA",1960,2021,"Jaman South Municipal","Rainfall"
"Jasikan_07004JAS",1947,2019,"Jasikan","Rainfall"
"Jema_16009JEM",1939,1994,"Aowin","Rainfall"
"Jerigo-Lagu_07013JER",1960,1980,"North East Gonja","Rainfall"
"Jirapa_01002JIR",1955,1993,"Jirapa Municipal","Rainfall"
"Juaso_19006JUA",1933,2019,"Asante Akim South","Rainfall"
"Jukwa_23019JUK",1956,1998,"Twifo Hemang Lower Denkyira","Rainfall"
"KIAMO-Accra_23016ACC",1938,2023,"Okaikoi South","Synoptic"
"Kade_21017KAD",1951,2018,"Kwaebibirem","Climate"
"Kade_21018KAD",1957,1992,"Kwaebibirem","Experimental"
"Kade_21019KAD",1950,2008,"Kwaebibirem","Rainfall"
"Kade_21064KAD",1975,2008,"Kwaebibirem","Rainfall"
"Kadjebi_07030KAD",2006,2006,"Kadjebi","Rainfall"
"Kalba_01006KAL",1961,1963,"Sawla-Tuna-Kalba","Rainfall"
"Kaleo_01008KEO",1954,2019,"Nadowli-Kaleo","Rainfall"
"Kanayerebo_18007KAN",1947,2001,"BAB Municipal","Climate"
"Kanayerobo_18007KAN",1947,2001,"BAB Municipal","Climate"
"Kankan_21049KAN",1965,2013,"Atiwa","Rainfall"
"Karaga_04002KAR",1954,1978,"Karaga","Rainfall"
"Karatashie_04004KAR",1965,1990,"Tempane","Rainfall"
"Kasunya_07069KAS",1970,1976,"Shai Osudoku","Rainfall"
"Katamansu_23087KAT",1965,1973,"Ningo Prampram","Rainfall"
"Katanka_07013KAT",1961,1982,"Sene East","Rainfall"
"Katiejeli_08009KAT",1961,1990,"Kpandai","Rainfall"
"Kayoro_04000KAY",1956,1983,"Kasena Nankana West","Rainfall"
"Kengen_23019KEN",1954,1980,"Jomoro","Rainfall"
"Kenyasi_01000KEN",1956,2003,"Asutifi North","Rainfall"
"Keta_23015KET",1921,2005,"Keta Municipal","Climate"
"Kete-Krachi_07008KRA",1949,2019,"Krachi West","Synoptic"
"Kibi_21020KIB",1950,2021,"East Akim Municipal","Climate"
"Kintampo_01000KIN",1921,2021,"Kintampo North Municipal","Agromet"
"Kitare_09007KIT",1975,1982,"Kpandai","Rainfall"
"Klukpo_07056KLU",1961,1982,"Central Tongu","Rainfall"
"Kluma_07036KLU",1955,1980,"North Tongu","Rainfall"
"Ko_01010KO-",1954,1991,"Jirapa","Rainfall"
"Kofi Pare_23051KOF",1960,1992,"Ayensuano","Rainfall"
"Kofiase_14005KOF",1955,2008,"Mampong Municipal","Rainfall"
"Koforidua_22029KOF",1953,2017,"New-Juaben Municipal","Climate"
"Koforidua_22050KDA.1",1964,2023,"New-Juaben Municipal","Agromet"
"Koforidua_22050KDA.2",1964,2023,"New-Juaben Municipal","Synoptic"
"Kojopere_02011KOJ",1955,2021,"Daffiama Bussie Issa","Rainfall"
"Kokoti_17008KOK",1950,1966,"Ofinso","Rainfall"
"Kologu_04002KOL",1954,1990,"Kasena Nankana East","Rainfall"
"Komenda_23021KOM",1953,2019,"Na","Rainfall"
"Komenda_23040KOM",1964,2019,"Na","Agromet"
"Konongo_19007KON",1934,2010,"Asante Akim Central","Climate"
"Konongo_19007KOO",2006,2010,"Asante Akim Central","Climate"
"Kpandae_08002KPA",1953,2017,"Kpandai","Climate"
"Kpando_07017KPA.1",1958,2022,"Kpando Municipal","Agromet"
"Kpando_07017KPA.2",1958,2022,"Kpando Municipal","Climate"
